timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 04:04:39.154, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:40.157, 2 %, 0 %, 115.75 W, 1063 MHz
2020/12/31 04:04:41.160, 0 %, 0 %, 114.92 W, 1063 MHz
2020/12/31 04:04:42.162, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:43.164, 41 %, 25 %, 115.08 W, 1063 MHz
2020/12/31 04:04:44.167, 68 %, 40 %, 115.04 W, 1063 MHz
2020/12/31 04:04:45.170, 42 %, 20 %, 47.91 W, 1063 MHz
2020/12/31 04:04:46.173, 45 %, 27 %, 115.61 W, 1063 MHz
2020/12/31 04:04:47.175, 98 %, 54 %, 49.64 W, 1063 MHz
2020/12/31 04:04:48.178, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:04:49.181, 0 %, 0 %, 85.60 W, 1063 MHz
2020/12/31 04:04:50.183, 44 %, 27 %, 115.02 W, 1063 MHz
2020/12/31 04:04:51.186, 99 %, 57 %, 54.12 W, 1063 MHz
2020/12/31 04:04:52.189, 99 %, 55 %, 50.76 W, 1063 MHz
2020/12/31 04:04:53.192, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:54.194, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:04:55.200, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:04:56.203, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:04:57.205, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:04:58.208, 72 %, 37 %, 48.01 W, 1063 MHz
2020/12/31 04:04:59.211, 52 %, 26 %, 48.01 W, 1063 MHz
2020/12/31 04:05:00.213, 30 %, 17 %, 115.13 W, 1063 MHz
2020/12/31 04:05:01.216, 100 %, 56 %, 53.16 W, 1063 MHz
2020/12/31 04:05:02.219, 59 %, 29 %, 48.01 W, 1063 MHz
2020/12/31 04:05:03.221, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:05:04.224, 71 %, 41 %, 115.08 W, 1063 MHz
2020/12/31 04:05:05.227, 92 %, 53 %, 97.71 W, 1063 MHz
2020/12/31 04:05:06.230, 80 %, 43 %, 48.56 W, 1063 MHz
2020/12/31 04:05:07.232, 44 %, 21 %, 48.01 W, 1063 MHz
2020/12/31 04:05:08.235, 72 %, 37 %, 48.20 W, 1063 MHz
2020/12/31 04:05:09.238, 37 %, 17 %, 48.01 W, 1063 MHz
2020/12/31 04:05:10.240, 0 %, 0 %, 47.91 W, 1063 MHz
2020/12/31 04:05:11.243, 2 %, 1 %, 47.81 W, 1063 MHz
2020/12/31 04:05:12.246, 40 %, 19 %, 48.01 W, 1063 MHz
2020/12/31 04:05:13.249, 0 %, 0 %, 49.80 W, 1063 MHz
2020/12/31 04:05:14.251, 51 %, 30 %, 115.12 W, 1063 MHz
2020/12/31 04:05:15.254, 85 %, 46 %, 49.71 W, 1063 MHz
2020/12/31 04:05:16.257, 44 %, 21 %, 48.10 W, 1063 MHz
2020/12/31 04:05:17.258, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:05:18.260, 34 %, 20 %, 113.83 W, 1063 MHz
2020/12/31 04:05:19.261, 54 %, 32 %, 116.42 W, 1063 MHz
2020/12/31 04:05:20.264, 0 %, 0 %, 47.92 W, 1063 MHz
2020/12/31 04:05:21.267, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:05:22.269, 0 %, 0 %, 47.91 W, 1063 MHz
2020/12/31 04:05:23.272, 38 %, 18 %, 116.13 W, 1063 MHz
2020/12/31 04:05:24.275, 0 %, 0 %, 116.23 W, 1063 MHz
2020/12/31 04:05:25.281, 30 %, 17 %, 61.90 W, 1063 MHz
2020/12/31 04:05:26.284, 66 %, 39 %, 48.20 W, 1063 MHz
2020/12/31 04:05:27.286, 48 %, 23 %, 47.91 W, 1063 MHz
2020/12/31 04:05:28.292, 3 %, 1 %, 114.84 W, 1063 MHz
2020/12/31 04:05:29.295, 99 %, 56 %, 48.10 W, 1063 MHz
2020/12/31 04:05:30.298, 52 %, 26 %, 90.15 W, 1063 MHz
2020/12/31 04:05:31.300, 63 %, 34 %, 63.43 W, 1063 MHz
2020/12/31 04:05:32.303, 60 %, 30 %, 47.91 W, 1063 MHz
