timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:57:12.800, 40 %, 13 %, 74.24 W, 1063 MHz
2020/12/31 09:57:13.802, 42 %, 14 %, 57.58 W, 1063 MHz
2020/12/31 09:57:14.805, 70 %, 22 %, 82.25 W, 1063 MHz
2020/12/31 09:57:15.808, 38 %, 12 %, 49.35 W, 1063 MHz
2020/12/31 09:57:16.811, 36 %, 11 %, 74.04 W, 1063 MHz
2020/12/31 09:57:17.812, 42 %, 14 %, 83.01 W, 1063 MHz
2020/12/31 09:57:18.812, 46 %, 14 %, 48.20 W, 1063 MHz
2020/12/31 09:57:19.815, 41 %, 13 %, 54.12 W, 1063 MHz
2020/12/31 09:57:20.818, 52 %, 17 %, 50.86 W, 1063 MHz
2020/12/31 09:57:21.821, 52 %, 17 %, 47.53 W, 1063 MHz
2020/12/31 09:57:22.823, 0 %, 0 %, 50.76 W, 1063 MHz
2020/12/31 09:57:23.826, 47 %, 15 %, 79.70 W, 1063 MHz
2020/12/31 09:57:24.829, 40 %, 13 %, 72.22 W, 1063 MHz
2020/12/31 09:57:25.832, 56 %, 19 %, 48.01 W, 1063 MHz
2020/12/31 09:57:26.834, 37 %, 13 %, 82.34 W, 1063 MHz
2020/12/31 09:57:27.837, 26 %, 9 %, 74.91 W, 1063 MHz
2020/12/31 09:57:28.840, 64 %, 21 %, 77.64 W, 1063 MHz
2020/12/31 09:57:29.843, 43 %, 13 %, 52.88 W, 1063 MHz
2020/12/31 09:57:30.846, 26 %, 9 %, 65.51 W, 1063 MHz
2020/12/31 09:57:31.848, 52 %, 17 %, 50.41 W, 1063 MHz
2020/12/31 09:57:32.851, 53 %, 17 %, 56.91 W, 1063 MHz
2020/12/31 09:57:33.854, 36 %, 13 %, 48.01 W, 1063 MHz
2020/12/31 09:57:34.857, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 09:57:35.859, 52 %, 17 %, 82.91 W, 1063 MHz
2020/12/31 09:57:36.862, 45 %, 14 %, 53.26 W, 1063 MHz
2020/12/31 09:57:37.865, 35 %, 12 %, 68.19 W, 1063 MHz
2020/12/31 09:57:38.868, 69 %, 23 %, 50.96 W, 1063 MHz
2020/12/31 09:57:39.874, 43 %, 14 %, 59.02 W, 1063 MHz
2020/12/31 09:57:40.877, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 09:57:41.881, 44 %, 15 %, 81.53 W, 1063 MHz
2020/12/31 09:57:42.884, 48 %, 16 %, 48.01 W, 1063 MHz
2020/12/31 09:57:43.886, 32 %, 10 %, 81.00 W, 1063 MHz
2020/12/31 09:57:44.889, 41 %, 13 %, 50.00 W, 1063 MHz
2020/12/31 09:57:45.892, 53 %, 18 %, 65.31 W, 1063 MHz
2020/12/31 09:57:46.895, 52 %, 17 %, 48.01 W, 1063 MHz
